Kod,AKP,MHP,SAADET,CHP,BTP,BBP,DP,DSP,HDP,DBP,Diger
TR10,54093049,7738638,3993965,44706333,207212,870111,211122,163343,5668663,0,547556
TR21,3567512,1907474,82350,4838857,15433,75794,116982,206032,127747,0,47911
TR22,3560352,1886912,156399,2980150,14514,63895,25465,64504,54959,0,28178
TR31,9825657,3684325,213102,13882052,50394,141023,144788,672619,1069714,0,347615
TR32,5181730,3898372,69135,5607017,23672,75914,360900,85951,279690,0,89211
TR33,5565894,4684947,329100,2237230,24882,112499,145954,8821,184213,0,54717
TR41,12252110,5736725,747143,8343488,49946,236020,459405,66729,400364,0,113402
TR42,12444694,4746233,1648989,5400795,44577,170964,91979,21585,370018,0,55179
TR51,16365887,6537025,240987,12169509,61699,2454619,204418,68638,374867,0,186912
TR52,5583565,2182478,570578,610268,16940,92341,46822,1238,0,194200,39433
TR61,5730691,4581895,160383,4805551,26357,187793,171912,207875,325391,0,74457
TR62,4557758,4804846,161664,4431400,42690,94681,168440,23185,743492,808740,69094
TR63,4110547,2452356,170235,2151925,13868,70381,15444,8897,115795,0,126823
TR71,2196381,1605949,281899,576577,8050,98084,29595,7228,12303,0,27788
TR72,4375722,2059110,211217,644604,21012,607865,46110,6488,2336,0,18369
TR81,1492681,786985,83456,1144114,5480,23106,2586,27605,1510,0,9201
TR82,836448,593868,23428,240615,3112,26910,0,751,0,0,18515
TR83,4595164,2740050,260830,1595405,13963,58809,44149,25296,4848,0,19508
TR90,4482323,1759680,462912,1713528,31157,65708,29035,17814,5341,0,65828
TRA1,1600162,784142,170544,140007,13920,52796,8385,15507,5712,182919,71974
TRA2,244853,152090,23973,84785,8042,2216,36725,7325,0,277741,28147
TRB1,2560858,576994,325023,652998,22663,40274,32743,1972,46245,219361,196617
TRB2,965595,44281,67586,29448,19181,6590,23075,706,0,1225979,54834
TRC1,2994033,754580,199516,1161744,23838,131936,102278,7586,2634,340232,15876
TRC2,2844258,185551,260940,72819,38653,39839,148229,2256,0,2589860,219598
TRC3,1161685,25601,195648,38060,12022,32804,1659,0,0,2038369,155121
